gtdb_genome_representative,accession,ncbi_genbank_assembly_accession,gtdb_taxonomy,gtdb_superkingdom,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,ncbi_taxonomy,ncbi_taxonomy_unfiltered,ncbi_organism_name,ncbi_species_taxid,ncbi_assembly_level,genome_size,gc_count,gc_percentage,ncbi_protein_count,checkm_completeness,checkm_contamination,checkm2_completeness,checkm2_contamination,checkm_marker_count,checkm_marker_set_count,checkm_strain_heterogeneity,contig_count
GCF_015668195.1,RS_GCF_015668195.1,GCA_015668195.1,d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia_C;s__Romboutsia_C sp015668195,Bacteria,Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Romboutsia_C,Romboutsia_C sp015668195,d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;x__unclassified Romboutsia;s__Romboutsia sp. 1001713B170131_170501_G6,Romboutsia sp. 1001713B170131_170501_G6,2787108,Scaffold,3157302,875592,27.7400433846077,none,99.3,0,99.96,0.15,249,142,0,39
GCA_900116485.1,GB_GCA_900116485.1,GCA_900116485.1,d__Bacteria;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas_A;s__Selenomonas_A ruminantium_G,Bacteria,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas_A,Selenomonas_A ruminantium_G,d__Bacteria;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas;s__Selenomonas ruminantium,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas;s__Selenomonas ruminantium,Selenomonas ruminantium,971,Scaffold,2821632,1487702,52.7379603620364,none,100,0.08,99.99,0.04,423,214,0,40
GCF_029211325.2,RS_GCF_029211325.2,GCA_029211325.2,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Caproicibacterium;s__Caproicibacterium argilliputei,Bacteria,Bacillota,Clostridia,Oscillospirales,Acutalibacteraceae,Caproicibacterium,Caproicibacterium argilliputei,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Caproicibacterium;s__Caproicibacterium argilliputei,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Caproicibacterium;s__Caproicibacterium argilliputei,Caproicibacterium argilliputei,3030016,Complete Genome,2904997,1517281,52.2300367263718,none,96.64,0.34,99.94,1.15,263,149,0,1
GCF_018882415.1,RS_GCF_018882415.1,GCA_018882415.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter;s__Polynucleobacter sp018882415,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,Polynucleobacter sp018882415,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter;s__,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter;x__unclassified Polynucleobacter;s__Polynucleobacter sp. 86C-FISCH,Polynucleobacter sp. 86C-FISCH,2689101,Scaffold,1988466,906792,45.6048148004721,none,98.71,0,100,0.01,552,243,0,4
GCA_020161455.1,RS_GCF_036745315.1,GCA_036745315.1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium sp020161455,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp020161455,d__Bacteria;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;x__unclassified Flavobacterium;s__Flavobacterium sp.,Flavobacterium sp.,239,Scaffold,3053766,990319,32.4351685725197,none,98.47,0.71,98.82,1.17,511,283,0,145
GCA_014323865.1,GB_GCA_014323865.1,GCA_014323865.1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__SP197;f__SP197;g__SP197;s__SP197 sp014323865,Bacteria,Pseudomonadota,Alphaproteobacteria,SP197,SP197,SP197,SP197 sp014323865,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;x__unclassified Rhodospirillales;s__Rhodospirillales bacterium,Rhodospirillales bacterium,2026786,Scaffold,2820038,1803409,63.9587933503615,none,98.04,0,99.88,0.58,349,230,0,28
GCA_035327305.1,GB_GCA_035327305.1,GCA_035327305.1,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellia;o__CAIVKH01;f__CAIVKH01;g__CALMUP01;s__CALMUP01 sp035327305,Bacteria,Verrucomicrobiota,Kiritimatiellia,CAIVKH01,CAIVKH01,CALMUP01,CALMUP01 sp035327305,d__Bacteria;p__Kiritimatiellota;c__Kiritimatiellia;o__;f__;g__;s__,d__Bacteria;x__PVC group;p__Kiritimatiellota;c__Kiritimatiellia;x__unclassified Kiritimatiellia;s__Kiritimatiellia bacterium,Kiritimatiellia bacterium,2212473,Scaffold,3272336,1723320,52.7132333058855,none,95.44,1.38,95.08,0.5,230,148,0,187
GCF_028768465.1,RS_GCF_028768465.1,GCA_028768465.1,d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Rhodopirellula;s__Rhodopirellula sp028768465,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Rhodopirellula,Rhodopirellula sp028768465,d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Rhodopirellula;s__,d__Bacteria;x__PVC group;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Rhodopirellula;x__unclassified Rhodopirellula;s__Rhodopirellula sp. P2,Rhodopirellula sp. P2,2127060,Complete Genome,7291416,4183915,57.3813783221256,none,99.93,0,99.92,4.12,140,85,0,1
GCA_036725985.1,GB_GCA_036725985.1,GCA_036725985.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sheuella;s__Sheuella sp036725985,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Sheuella,Sheuella sp036725985,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;x__unclassified Burkholderiaceae;s__Burkholderiaceae bacterium,Burkholderiaceae bacterium,2030806,Scaffold,3690827,1876639,50.8680815791492,none,99.5,0.03,98.64,0.05,420,211,0,52
GCA_023263825.1,GB_GCA_038102305.1,GCA_038102305.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__Porticoccus;s__Porticoccus sp023263825,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Porticoccaceae,Porticoccus,Porticoccus sp023263825,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Cellvibrionales;f__Porticoccaceae;g__Porticoccus;s__,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Cellvibrionales;f__Porticoccaceae;g__Porticoccus;x__unclassified Porticoccus;s__Porticoccus sp.,Porticoccus sp.,2024853,Scaffold,1738671,764538,44.0112806041651,none,97.59,0.93,98.95,0.15,451,270,0,43
GCA_031082315.1,GB_GCA_031082315.1,GCA_031082315.1,d__Bacteria;p__Desulfobacterota;c__QYQD01;o__QYQD01;f__QYQD01;g__QYQD01;s__QYQD01 sp031082315,Bacteria,Desulfobacterota,QYQD01,QYQD01,QYQD01,QYQD01,QYQD01 sp031082315,d__Bacteria;p__Thermodesulfobacteriota;c__;o__;f__;g__;s__,d__Bacteria;p__Thermodesulfobacteriota;x__unclassified Thermodesulfobacteriota;s__Thermodesulfobacteriota bacterium,Thermodesulfobacteriota bacterium,2202153,Scaffold,2711859,1342225,49.5100726148961,none,100,0.6,98.76,0.49,280,168,0,51
GCF_026163685.1,RS_GCF_026163685.1,GCA_026163685.1,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Oerskovia;s__Oerskovia flava,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Cellulomonadaceae,Oerskovia,Oerskovia flava,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Cellulomonadaceae;g__Oerskovia;s__Oerskovia flava,d__Bacteria;x__Terrabacteria group;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Cellulomonadaceae;g__Oerskovia;s__Oerskovia flava,Oerskovia flava,2986422,Scaffold,4113754,2982468,72.500792473158,none,100,0,99.99,0.08,288,173,0,27
GCF_030930995.1,RS_GCF_030930995.1,GCA_030930995.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiothrix;s__Thiothrix subterranea_A,Bacteria,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix,Thiothrix subterranea_A,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiothrix;s__Thiothrix subterranea,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiothrix;s__Thiothrix subterranea,Thiothrix subterranea,2735563,Complete Genome,4407357,2267111,51.4392412504819,none,99.71,1.55,100,1.12,580,290,37.5,2
GCA_017160915.1,GB_GCA_017160915.1,GCA_017160915.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Aggregatibacter;s__Aggregatibacter actinomycetemcomitans_B,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans_B,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Aggregatibacter;s__Aggregatibacter actinomycetemcomitans,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Aggregatibacter;s__Aggregatibacter actinomycetemcomitans,Aggregatibacter actinomycetemcomitans,714,Scaffold,2614560,1200380,45.9656117579574,none,99.57,1.01,99.99,0.36,767,440,72.73,142
GCA_029212505.1,GB_GCA_029212505.1,GCA_029212505.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__JAALKW01;s__JAALKW01 sp029212505,Bacteria,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,JAALKW01,JAALKW01 sp029212505,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__;s__,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;x__unclassified Legionellaceae;s__Legionellaceae bacterium,Legionellaceae bacterium,2026753,Scaffold,1950994,842553,43.1902599659421,none,95.06,0.73,97.97,0,270,172,0,24
GCA_003249025.1,GB_GCA_003249025.1,GCA_003249025.1,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Leptolyngbyales;f__Leptolyngbyaceae;g__ULC077BIN1;s__ULC077BIN1 sp003249025,Bacteria,Cyanobacteriota,Cyanobacteriia,Leptolyngbyales,Leptolyngbyaceae,ULC077BIN1,ULC077BIN1 sp003249025,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Leptolyngbyales;f__Leptolyngbyaceae;g__Leptolyngbya;s__,d__Bacteria;x__Terrabacteria group;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;o__Leptolyngbyales;f__Leptolyngbyaceae;x__Leptolyngbya group;g__Leptolyngbya;x__unclassified Leptolyngbya;s__Leptolyngbya sp.,Leptolyngbya sp.,47254,Scaffold,5462880,2631253,48.1749209474479,5155,97.64,0.47,99.34,0.37,544,424,0,438
GCF_030316135.1,RS_GCF_030316135.1,GCA_030316135.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Aliiglaciecola;s__Aliiglaciecola sp030316135,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Aliiglaciecola,Aliiglaciecola sp030316135,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Aliiglaciecola;s__,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Aliiglaciecola;x__unclassified Aliiglaciecola;s__Aliiglaciecola sp. LCG003,Aliiglaciecola sp. LCG003,3053655,Complete Genome,4411932,1894593,42.9424796211728,none,100,1.17,100,0,693,297,0,1
GCF_002272895.1,RS_GCF_002272895.1,GCA_002272895.1,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_J;s__Helicobacter_J sp002272895,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacter_J,Helicobacter_J sp002272895,d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__,d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;x__unclassified Helicobacter;s__Helicobacter sp. 12S02232-10,Helicobacter sp. 12S02232-10,1476197,Scaffold,1899787,664261,34.9813944719516,1875,99.94,0.05,99.98,0.19,477,284,0,55
GCF_900113635.1,RS_GCF_900113635.1,GCA_900113635.1,d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Tindalliaceae;g__Tindallia;s__Tindallia magadiensis,Bacteria,Bacillota,Clostridia,Peptostreptococcales,Tindalliaceae,Tindallia,Tindallia magadiensis,d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Tindalliaceae;g__Tindallia;s__Tindallia magadiensis,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Tindalliaceae;g__Tindallia;s__Tindallia magadiensis,Tindallia magadiensis,69895,Scaffold,3083807,1217513,39.5137732021263,2772,98.6,0.23,99.64,0.05,250,143,0,33
GCF_026723865.1,RS_GCF_026723865.1,GCA_026723865.1,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp026723865,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium sp026723865,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__,d__Bacteria;x__Terrabacteria group;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;x__unclassified Mycobacterium;s__Mycobacterium sp. Aquia_216,Mycobacterium sp. Aquia_216,2991729,Complete Genome,6179084,4057944,65.6722582182084,none,99.53,0.89,100,0.14,693,300,0,2
GCF_000024205.1,RS_GCF_000024205.1,GCA_000024205.1,d__Bacteria;p__Bacillota;c__Desulfotomaculia;o__Desulfotomaculales;f__Desulfofarciminaceae;g__Desulfofarcimen;s__Desulfofarcimen acetoxidans,Bacteria,Bacillota,Desulfotomaculia,Desulfotomaculales,Desulfofarciminaceae,Desulfofarcimen,Desulfofarcimen acetoxidans,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;g__Desulfofarcimen;s__Desulfofarcimen acetoxidans,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;g__Desulfofarcimen;s__Desulfofarcimen acetoxidans;x__Desulfofarcimen acetoxidans DSM 771,Desulfofarcimen acetoxidans DSM 771,58138,Complete Genome,4545624,1888927,41.5548448353845,4187,99.27,0.16,100,3.28,294,157,0,1
GCF_021698975.1,RS_GCF_021698975.1,GCA_021698975.1,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Geodermatophilaceae;g__Blastococcus;s__Blastococcus sp021698975,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Geodermatophilaceae,Blastococcus,Blastococcus sp021698975,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Geodermatophilales;f__Geodermatophilaceae;g__Blastococcus;s__,d__Bacteria;x__Terrabacteria group;p__Actinomycetota;c__Actinomycetes;o__Geodermatophilales;f__Geodermatophilaceae;g__Blastococcus;x__unclassified Blastococcus;s__Blastococcus sp. KM273128,Blastococcus sp. KM273128,2570314,Scaffold,4410516,3284093,74.4611244127623,none,99.53,1.78,99.98,0.2,384,211,0,239
GCF_005049235.1,RS_GCF_001984015.1,GCA_001984015.1,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus_G;s__Rhodococcus_G oryzae,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Rhodococcus_G,Rhodococcus_G oryzae,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Nocardiaceae;g__Rhodococcus;s__,d__Bacteria;x__Terrabacteria group;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Nocardiaceae;g__Rhodococcus;x__unclassified Rhodococcus (in: high G+C Gram-positive bacteria);s__Rhodococcus sp. MTM3W5.2,Rhodococcus sp. MTM3W5.2,1805827,Complete Genome,5665081,3906192,68.9520944184205,5101,97.57,1.19,99.96,1.17,574,266,0,1
GCF_018885305.1,RS_GCF_018885305.1,GCA_018885305.1,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Curtobacterium;s__Curtobacterium sp018885305,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Curtobacterium,Curtobacterium sp018885305,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Microbacteriaceae;g__Curtobacterium;s__,d__Bacteria;x__Terrabacteria group;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Microbacteriaceae;g__Curtobacterium;x__unclassified Curtobacterium;s__Curtobacterium sp. L6-1,Curtobacterium sp. L6-1,2841594,Complete Genome,3402814,2451252,72.0360266532346,none,98.48,1.01,99.99,0.11,400,198,0,1
GCF_040633255.1,RS_GCF_040633255.1,GCA_040633255.1,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces sp040633255,Bacteria,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp040633255,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Kitasatosporales;f__Streptomycetaceae;g__Streptomyces;s__,d__Bacteria;x__Terrabacteria group;p__Actinomycetota;c__Actinomycetes;o__Kitasatosporales;f__Streptomycetaceae;g__Streptomyces;x__unclassified Streptomyces;s__Streptomyces sp. NPDC013178,Streptomyces sp. NPDC013178,3155118,Scaffold,10416753,7416643,71.2076455172884,none,98.71,0.93,100,0.18,460,233,0,162
GCF_030700285.1,RS_GCF_030700285.1,GCA_030700285.1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__Methylobacterium sp030700285,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,Methylobacterium sp030700285,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylobacteriaceae;g__Methylobacterium;s__,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylobacteriaceae;g__Methylobacterium;x__unclassified Methylobacterium;s__Methylobacterium sp. NEAU K,Methylobacterium sp. NEAU K,3064946,Scaffold,5591264,3862437,69.0803480597451,none,100,0.31,99.98,0.17,481,319,0,73
GCF_030128825.1,RS_GCF_030128825.1,GCA_030128825.1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium sp030128825,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium sp030128825,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;x__unclassified Sphingobium;s__Sphingobium sp. WTD-1,Sphingobium sp. WTD-1,2979467,Complete Genome,5674265,3634356,64.0498108565603,none,99.59,1.71,100,1,569,293,42.86,6
GCA_016758175.1,GB_GCA_016758175.1,GCA_016758175.1,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Leucobacter;s__Leucobacter zeae,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Leucobacter,Leucobacter zeae,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Microbacteriaceae;g__Leucobacter;s__Leucobacter zeae,d__Bacteria;x__Terrabacteria group;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Microbacteriaceae;g__Leucobacter;s__Leucobacter zeae,Leucobacter zeae,1257004,Scaffold,3470435,2448466,70.5670400512782,none,99.85,0.58,100,0.42,286,171,0,12
GCA_002450905.1,GB_GCA_002450905.1,GCA_002450905.1,d__Bacteria;p__Spirochaetota;c__UBA6919;o__UBA6919;f__UBA6919;g__UBA6919;s__UBA6919 sp002450905,Bacteria,Spirochaetota,UBA6919,UBA6919,UBA6919,UBA6919,UBA6919 sp002450905,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__;f__;g__;s__,d__Bacteria;p__Spirochaetota;c__Spirochaetia;x__unclassified Spirochaetia;s__Spirochaetia bacterium UBA6919,Spirochaetia bacterium UBA6919,1948761,Scaffold,3568355,1182025,33.1270364148673,0,96.4,0.67,98.62,0.03,215,125,0,123
GCF_900176325.1,RS_GCF_900176325.1,GCA_900176325.1,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus;s__Aerococcus suis,Bacteria,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus suis,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus;s__Aerococcus suis,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus;s__Aerococcus suis,Aerococcus suis,371602,Scaffold,1382195,503147,36.4270639893719,1293,98.9,0.27,97.94,0.39,327,182,0,16
GCA_015494715.1,GB_GCA_027050075.1,GCA_027050075.1,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Nitratiruptoraceae;g__Nitratiruptor;s__Nitratiruptor sp015494715,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptor,Nitratiruptor sp015494715,d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Nautiliales;f__Nitratiruptoraceae;g__Nitratiruptor;s__,d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Nautiliales;f__Nitratiruptoraceae;g__Nitratiruptor;x__unclassified Nitratiruptor;s__Nitratiruptor sp.,Nitratiruptor sp.,2081525,Scaffold,1921990,884846,46.0406476991279,none,99.19,0.41,100,0.05,338,246,0,71
GCF_003931855.1,RS_GCF_003931855.1,GCA_003931855.1,d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Fontibacillus;s__Fontibacillus lentus,Bacteria,Bacillota,Bacilli,Paenibacillales,Paenibacillaceae,Fontibacillus,Fontibacillus lentus,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus lentus,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus lentus,Paenibacillus lentus,1338368,Complete Genome,5288676,2456883,46.455540101152,none,99.85,0,99.99,0.01,468,170,0,1
GCA_018382295.1,GB_GCA_018382295.1,GCA_018382295.1,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp018382295,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella sp018382295,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__,d__Bacteria;x__Terrabacteria group;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;x__unclassified Collinsella;s__Collinsella sp.,Collinsella sp.,1965294,Scaffold,2068090,1243942,60.1514397608917,none,100,0.81,98.89,0.65,211,124,0,78
GCF_023650955.1,RS_GCF_023650955.1,GCA_023650955.1,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Thermosynechococcales;f__Thermosynechococcaceae;g__Thermosynechococcus;s__Thermosynechococcus sp023650955,Bacteria,Cyanobacteriota,Cyanobacteriia,Thermosynechococcales,Thermosynechococcaceae,Thermosynechococcus,Thermosynechococcus sp023650955,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Acaryochloridales;f__Thermosynechococcaceae;g__Thermosynechococcus;s__,d__Bacteria;x__Terrabacteria group;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;o__Acaryochloridales;f__Thermosynechococcaceae;g__Thermosynechococcus;x__unclassified Thermosynechococcus;s__Thermosynechococcus sp. HN-54,Thermosynechococcus sp. HN-54,2933959,Complete Genome,2705963,1437160,53.1108518483069,none,100,0.12,99.99,0.26,544,424,0,1
