Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	CheckM completeness	CheckM contamination
GCA_017916335.1	LU_Lori_1.0	Leishmania orientalis					LSCM4		Annotation submitted by Lancaster University	34194276	Chromosome	4/15/21	JAFHLR01	98		
GCA_017916325.1	LU_Lmar_1.0	Leishmania martiniquensis					LSCM1		Annotation submitted by Lancaster University	32413670	Chromosome	4/15/21	JAFEUZ01	42		
GCA_944472155.2	tdTriSzid1.2	Trichobilharzia szidati							Annotation submitted by WELLCOME SANGER INSTITUTE	1116378626	Chromosome	9/15/22	CALYDE02	1277		
GCA_017916305.1	LU_Lenr_1.0	Leishmania enriettii					CUR178		Annotation submitted by Lancaster University	33318864	Chromosome	4/15/21	JAFHKP01	54		
GCA_030737845.1	ASM3073784v1	Acorus calamus				Fujian	CP		Annotation submitted by Fujian Agriculture and Forestry University	721748827	Chromosome	8/16/23	JAUJYO01	1543		
GCA_013339685.2	BIME_Hyas_1.3	Hyalomma asiaticum					Hyas-2018		Annotation submitted by TIGMIC Group	1713574309	Chromosome	6/16/20	JABSTT01	6319		
GCA_029718625.1	SKAU_1.1	Synaphobranchus kaupii				Taiwan	WJC10195		Annotation submitted by GenoFish	1503294022	Chromosome	4/14/23	JAINUF01	99		
GCF_026930045.1	Udiv.v.3.1	Uloborus diversus					005	female	GCF_026930045.1-RS_2023_03	2151890133	Chromosome	12/19/22	JANCTA01	1586		
GCA_023690525.1	ASM2369052v1	Holotrichia oblita					81SQS9		Annotation submitted by Shandong Academy of Agricultural Sciences	1415113966	Chromosome	6/8/22	JALQSN01	1158		
GCF_026213295.1	NIFS_Gcha_1.0	Gadus chalcogrammus					NIFS_2021	female	GCF_026213295.1-RS_2023_05	629920150	Chromosome	11/18/22	JAHRIL01	167		
GCA_007726485.1	CERZOS_EC1.0	Eragrostis curvula			Victoria				Annotation submitted by CERZOS-CONICET	603072269	Chromosome	8/5/19	RWGY01	1143		
GCF_013339745.2	BIME_Dsil_1.4	Dermacentor silvarum					Dsil-2018		NCBI Dermacentor silvarum Annotation Release 101	2474293395	Chromosome	6/24/22	JABSTS01	1664		
GCF_003255815.1	Tgel_1.0	Theropithecus gelada					Dixy	female	NCBI Theropithecus gelada Annotation Release 100	2889614139	Chromosome	6/19/18	QGDE01	15307		
GCA_019512145.1	UCB_Epus_1.0	Engystomops pustulosus					237g6f4	female	"Annotation submitted by University of California, Berkeley"	2555516698	Chromosome	8/10/21	WNYA01	108304		
GCA_009733165.1	Nana_v5	Naja naja					NN01	male	"Annotation submitted by Genentech Inc.,"	1768535092	Chromosome	12/11/19	SOZL01	1897		
GCF_963678635.1	txSymRosc1.1	Symsagittifera roscoffensis							GCF_963678635.1-RS_2024_03	753507827	Chromosome	12/7/23	CAVMBQ01	1170		
GCA_944470395.2	tdSchTurk1.2	Schistosoma turkestanicum							Annotation submitted by WELLCOME SANGER INSTITUTE	425011079	Chromosome	9/20/22	CALYCR02	3496		
GCA_015883425.2	CU_Lasu_v2	Lamprotornis superbus					SS15	female	Annotation submitted by Columbia University	1068005652	Chromosome	3/24/22	JADDUC02	2008		
GCF_022355385.1	MUSNIG.SB6536	Mustela nigripes					SB6536	male	GCF_022355385.1-RS_2023_09	2498532951	Chromosome	2/24/22	JABTCS01	20574		
GCF_009730915.1	TDr96_F1_v2_PseudoChromosome.rev07_lg8_w22 25.fasta	Dioscorea cayenensis subsp. rotundata			TDr96_F1				NCBI Dioscorea cayenensis subsp. rotundata Annotation Release 100	584153202	Chromosome	11/25/19	BLBR01	2253		
GCA_944474145.2	tdDicDend1.1c	Dicrocoelium dendriticum							Annotation submitted by WELLCOME SANGER INSTITUTE	1889962902	Chromosome	9/23/22	CALYDF02	19455		
GCF_022539505.1	APGP_CSIRO_Lrig_0.1	Lolium rigidum					FL_2022		NCBI Lolium rigidum Annotation Release 100	2438467165	Chromosome	3/14/22	JAKKIG01	1764		
GCF_028533385.1	Panthera_onca_HiC	Panthera onca					Sample0147	female	GCF_028533385.1-RS_2023_10	2380242927	Chromosome	2/9/23	JAQIGD01	36242		
GCA_004359215.2	BlacSF5v2	Bremia lactucae		SF5					Annotation submitted by UC Davis Genome Center	115935664	Chromosome	8/20/21	SHOA02	220		
GCF_014905685.2	NemWhi1	Nematolebias whitei					Nwh7	female	NCBI Nematolebias whitei Updated Annotation Release 100.20210725	1218316901	Chromosome	3/24/21	JAAMPK01	18998		
GCA_013677235.1	ASM1367723v1	Gossypium klotzschianum					57		Annotation submitted by Mississippi State University	670958353	Chromosome	9/3/20	JABFAB01	316819		
GCF_907164935.1	iOsmBic2.1	Osmia bicornis bicornis							NCBI Osmia bicornis bicornis Annotation Release 101	222969496	Chromosome	5/17/21	CAJRAL01	441		
GCF_000277815.2	ASM27781v3	Encephalitozoon hellem ATCC 50504		ATCC 50504					Annotation submitted by University of British Columbia	2251784	Chromosome	7/16/12		12		
GCF_019186545.1	ASM1918654v1	Solanum stenotomum					F172		NCBI Solanum stenotomum Annotation Release 100	846249028	Chromosome	7/9/21	JAERIQ01	17083		
GCF_000321355.1	PcynB_1.0	Plasmodium cynomolgi strain B		B					Annotation submitted by NCBI RefSeq	26181343	Chromosome	6/7/12	BAEJ01	1663		
GCF_027244095.1	rHemCap1.1.pri	Hemicordylus capensis				Gifberg		male	GCF_027244095.1-RS_2023_02	2294751221	Chromosome	12/28/22	JAPMAM01	44		
GCF_018350155.1	O.geoffroyi_Oge1_pat1.0	Leopardus geoffroyi					Oge1	male	NCBI Leopardus geoffroyi Annotation Release 100	2426370816	Chromosome	5/13/21	JAFEKB01	46		
GCA_037953625.1	Cpal_1	Crotalaria pallida					ZHUSHIDOU_FW_LH		"Annotation submitted by Agricultural Genomics Institute at Shenzhen,Chinese Academy of Agricultural Sciences"	1217412848	Chromosome	4/4/24	JAYWIO01	187		
GCA_031835075.1	ASM3183507v1	Saguinus oedipus					B95-8	male	Annotation submitted by The Ohio State University	3240181431	Chromosome	9/25/23	JASSZA01	439		
GCA_040167595.1	Saponaria_officinalis_var_Norfolk2_v1.0	Saponaria officinalis					JIC		Annotation submitted by John Innes Centre	2089936116	Chromosome	6/12/24	JBDFQZ01	129		
GCF_030435805.1	mMusLut2.pri	Mustela lutreola					mMusLut2	male	GCF_030435805.1-RS_2023_08	2586268927	Chromosome	7/13/23	JAUCGO01	25		
GCA_023701675.1	CAU_F1_maternal_1.0	Ovis ammon polii x Ovis aries					F1 hybrid	male	Annotation submitted by China Agricultural University	2970496992	Chromosome	6/10/22	JALAIW01	337		
GCF_027409185.1	mCynVol1.pri	Cynocephalus volans					mCynVol1	male	GCF_027409185.1-RS_2024_02	2814418120	Chromosome	12/28/22	JAPWCP01	130		
GCF_033118175.1	ASM3311817v1	Dama dama					Ldn47	male	GCF_033118175.1-RS_2023_11	3104280228	Chromosome	11/2/23	JASJUW01	284		
GCA_039797435.1	Cadamanteus_3dDNAHiC_1.2	Crotalus adamanteus					DRR0105	female	Annotation submitted by Florida State University	1696173748	Chromosome	5/23/24	JAOTOJ01	26		
GCF_035149785.1	rCanAsp1.hap2	Candoia aspera					rCanAsp1	female	GCF_035149785.1-RS_2024_02	1530810380	Chromosome	1/18/24	JAYKKZ01	149		
GCF_016432865.1	AdamAnt_v2	Antechinus flavipes				"Samford, QLD, Australia"	AdamAnt	male	GCF_016432865.1-RS_2023_02	3192643918	Chromosome	1/6/21	JADWMD01	485		
GCF_025265405.1	mMesDen1 primary haplotype	Mesoplodon densirostris					mMesDen1	male	GCF_025265405.1-RS_2023_10	2683375131	Chromosome	9/19/22	JANXIL01	73		
GCF_032452875.1	ARS-OSU_banteng_1.0	Bos javanicus	banteng					male	GCF_032452875.1-RS_2023_12	2972795249	Chromosome	10/11/23	JAVLEU01	1517		
GCF_033978685.1	RoL_Nlum_1.0	Nerophis lumbriciformis		RoL_2023-P1				male	GCF_033978685.1-RS_2023_12	3157240560	Chromosome	11/29/23	JAWMBG01	630		
GCF_028023285.1	mBalRic1.hap2	Balaenoptera ricei					mBalRic1	female	GCF_028023285.1-RS_2023_09	2678442663	Chromosome	1/30/23	JAQMGZ01	774		
GCF_009829155.1	mMusErm1.Pri	Mustela erminea					mMusErm1	male	NCBI Mustela erminea Annotation Release 100	2445200799	Chromosome	1/3/20	WNLY01	93		
GCA_020496765.1	ZSTU_Gsto	Gossypium stocksii				E1			Annotation submitted by zstu	1448113609	Chromosome	10/14/21	JAIQCV01	127		
GCF_937616625.2	ddMerAnnu1.2	Mercurialis annua							GCF_937616625.2-RS_2023_05	453168992	Chromosome	10/31/22	CALLYH02	63		
GCA_018127125.1	RGv1.1	Rhododendron griersonianum					WSP0		Annotation submitted by Ori-Gene Co. Ltd.	674776022	Chromosome	4/23/21	JACTNZ01	46		
GCF_023558435.1	ASM2355843v2	Drosophila sulfurigaster albostrigata		15112-1811.04				female	GCF_023558435.1-RS_2024_01	168251146	Chromosome	5/31/22	JAJOLL01	92		
GCF_950005125.1	mChiNiv1.1	Chionomys nivalis							GCF_950005125.1-RS_2023_06	2393390621	Chromosome	5/1/23	CATLKQ01	160		
GCF_029931775.1	rEulEur1.hap1	Euleptes europaea					rEulEur1	male	GCF_029931775.1-RS_2023_06	1781916107	Chromosome	5/15/23	JARABC01	591		
GCF_013368585.1	fMegCyp1.pri	Megalops cyprinoides					fMegCyp1		NCBI Megalops cyprinoides Annotation Release 100	959241634	Chromosome	6/23/20	JABWDM01	206		
GCF_027744805.1	RoL_Ddac_1.1	Dunckerocampus dactyliophorus					RoL2022-P2	male	GCF_027744805.1-RS_2023_03	670648883	Chromosome	1/13/23	JAPTFN01	157		
GCF_027744825.2	RoL_Sspl_1.0	Synchiropus splendidus					RoL2022-P1	male	GCF_027744825.2-RS_2023_02	582881826	Chromosome	1/13/23	JAPTFM01	96		
GCF_963921235.1	sMobHyp1.1	Mobula hypostoma							GCF_963921235.1-RS_2024_02	3475679493	Chromosome	1/6/24	CAWUEV01	200		
GCA_019925095.2	A622	Dendrolimus kikuchii					Ann1		Annotation submitted by Southwest Forestry University	705515768	Chromosome	11/21/22	JAHHIN02	49		
GCF_902459505.1	aGeoSer1.1	Geotrypetes seraphini							NCBI Geotrypetes seraphini Annotation Release 100	3779413726	Chromosome	8/18/19	CABPRQ01	163		
GCF_023558535.2	ASM2355853v2	Drosophila nasuta		15112-1781.00				female	GCF_023558535.1-RS_2023_11	171766801	Chromosome	5/31/22	JAJOLN01	281		
GCF_963556715.1	ilCydFagi1.1	Cydia fagiglandana							GCF_963556715.1-RS_2024_02	555051570	Chromosome	10/23/23	CAUWAK01	36		
GCF_030035675.1	rRhiFlo1.hap2	Rhineura floridana					rRhiFlo1	female	GCF_030035675.1-RS_2023_12	2307419594	Chromosome	5/22/23	JASFZN01	76		
GCA_019176425.1	MATL_1.0	Megalops atlanticus					YG-15Mar2019-1		Annotation submitted by GenoFish	990029801	Chromosome	7/9/21	JAFDVH01	397		
GCA_021904315.1	S.magellanicum v1.1	Sphagnum magellanicum					Gp0060578		Annotation submitted by DOE Joint Genome Institute	439011478	Chromosome	2/8/22	JAKJHR01	58		
GCA_015731905.1	SDv1.1	Salix dunnii					FAFU-HL-1	female	Annotation submitted by Fujian Argriculture and Forestry University	327222375	Chromosome	12/11/20	JADGMS01	27		
GCA_014529385.2	ASM1452938v2	Adiantum capillus-veneris					H3		"Annotation submitted by Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences"	4822565590	Chromosome	7/5/22	JABFUD02	601		
GCF_017976425.1	fToxJac2.pri	Toxotes jaculatrix					fToxJac2		NCBI Toxotes jaculatrix Annotation Release 100	621503431	Chromosome	4/15/21	JAGIYR01	96		
GCF_902150065.1	fMyrMur1.1	Myripristis murdjan							NCBI Myripristis murdjan Annotation Release 100	835254674	Chromosome	7/3/19	CABFVW01	87		
GCF_032191835.1	APGP_CSIRO_Hbin_v1	Heteronotia binoei				False Entrance Well	CCM8104	female	GCF_032191835.1-RS_2023_10	2633446684	Chromosome	9/29/23	JAVQKZ01	660		
GCF_905404315.1	ilLepSina1.1	Leptidea sinapis							NCBI Leptidea sinapis Annotation Release 100	685583065	Chromosome	4/15/21	CAJQFP01	49		
GCF_021462225.1	DD_fGirMul_XY1	Girardinichthys multiradiatus					DD_20200921_A	male	NCBI Girardinichthys multiradiatus Annotation Release 100	1150004004	Chromosome	2/24/22	JAJATY02	72		
GCA_035582545.1	ASM3558254v1	Trapa natans			Nanhuling		F231		Annotation submitted by Zhejiang University	477423239	Chromosome	1/12/24	JAXQNO01	32		
GCF_947563725.1	qqArgBrue1.1	Argiope bruennichi							GCF_947563725.1-RS_2023_05	1778384155	Chromosome	12/13/22	CANOBD01	29		
GCF_030014385.1	fTriRos1.hap1	Trichomycterus rosablanca					fTriRos1	male	GCF_030014385.1-RS_2024_02	1045025885	Chromosome	5/16/23	JASDDV01	349		
GCF_007399415.2	rGopEvg1_v1.p	Gopherus evgoodei				Sinaloan lineage		male	NCBI Gopherus evgoodei Annotation Release 100	2298547364	Chromosome	7/25/19	VHHN01	382		
GCF_018873765.1	Tspe_v1	Telopea speciosissima				Mountain lineage	NSW1024214		NCBI Telopea speciosissima Annotation Release 100	823061212	Chromosome	6/14/21	JAGEPE01	1289		
GCF_015220745.1	fSebUmb1.pri	Sebastes umbrosus					fSebUmb1	male	NCBI Sebastes umbrosus Annotation Release 100	800904020	Chromosome	11/3/20	JADCQQ01	138		
GCA_032871835.1	Dipteronia_dye	Dipteronia dyeriana					KIB01		Annotation submitted by Zhejiang University	914769786	Chromosome	10/27/23	JANJYI01	90		
GCA_027562975.1	MPIPZ_rhyBre1m_1.0	Rhynchospora breviuscula					rhyBre1mFocal		Annotation submitted by Max-Planck institute for plant breeding research	420702111	Chromosome	1/4/23	JAMQYH01	1505		
GCF_947568885.1	ilCydStro3.1	Cydia strobilella							GCF_947568885.1-RS_2024_02	542588748	Chromosome	12/16/22	CANOQN01	29		
GCF_016906955.1	ROS_Pafr_v1	Phacochoerus africanus					WHEZ1	female	GCF_016906955.1-RS_2023_03	2435083091	Chromosome	2/19/21	JACMRZ01	194		
GCF_017639745.1	fMelBoe1.pri	Melanotaenia boesemani					fMelBoe1		NCBI Melanotaenia boesemani Annotation Release 100	865575964	Chromosome	3/30/21	JAGFVI01	92		
GCF_024542735.1	iyBomHunt1.1	Bombus huntii					Logan2020A	male	NCBI Bombus huntii Annotation Release 100	317402180	Chromosome	8/9/22	JANIEZ01	225		
GCF_905332965.1	iyBomPasc1.1	Bombus pascuorum							GCF_905332965.1-RS_2023_11	307548333	Chromosome	3/19/21	CAJOSQ01	81		
GCF_948474715.1	ilCydAmpl1.1	Cydia amplana							GCF_948474715.1-RS_2024_02	504318984	Chromosome	2/3/23	CAOLDY01	39		
GCF_905475345.1	iyVesVulg1.1	Vespula vulgaris							NCBI Vespula vulgaris Annotation Release 100	188185082	Chromosome	4/15/21	CAJQFS01	27		
GCF_021901455.1	iyNeoLeco1.1	Neodiprion lecontei					iyNeoLeco1	male	NCBI Neodiprion lecontei Annotation Release 101	272073844	Chromosome	2/3/22	JAJNQH01	106		
GCA_029204025.1	ASM2920402v1	Blomia tropicalis				China:Haikou			Annotation submitted by The Affiliated Wuxi People's Hospital of Nanjing Medical University	64772007	Chromosome	3/14/23	JAPWDV01	7		
GCF_007474595.2	mLynCan4.pri.v2	Lynx canadensis					LIC74	male	NCBI Lynx canadensis Annotation Release 102	2407810255	Chromosome	7/14/20	VHLE02	54		
GCA_012411365.1	AMELA_1.0	Ameiurus melas					M_S1	male	Annotation submitted by GenoFish	868496679	Chromosome	4/16/20	JAAGNN01	199		
GCF_019925205.1	ASM1992520v1	Metopolophium dirhodum					CAU		GCF_019925205.1-RS_2023_11	480811620	Chromosome	9/14/21	JAIOUA01	67		
GCF_028390025.1	aPseCor3.hap2	Pseudophryne corroboree					aPseCor3	male	GCF_028390025.1-RS_2024_02	8872758793	Chromosome	2/6/23	JAQOLT01	3127		
GCF_900747795.2	fErpCal1.3	Erpetoichthys calabaricus							GCF_900747795.2-RS_2023_02	3613534470	Chromosome	7/7/21	CAADRL03	168		
GCF_009819535.1	rLacAgi1.pri	Lacerta agilis					rLacAgi1	female	NCBI Lacerta agilis Annotation Release 100	1391387079	Chromosome	12/31/19	WNMS01	28		
GCF_910591565.1	ilCydSple1.2	Cydia splendana							GCF_910591565.1-RS_2024_02	630601649	Chromosome	10/11/22	CAJUYE02	111		
GCF_016746235.2	Prin_Dtei_1.1	Drosophila teissieri		GT53w				female	NCBI Drosophila teissieri Annotation Release 100	149494471	Chromosome	8/3/21	JAEDAA02	91		
GCF_900634415.1	fCotGob3.1	Cottoperca gobio							NCBI Cottoperca gobio Annotation Release 100	609391784	Chromosome	2/6/19	CAAAFJ01	322		
GCA_039657325.1	ASM3965732v1	Stephania cephalantha					JXDWG		Annotation submitted by Chengdu University of Traditional Chinese Medicine	743000645	Chromosome	5/17/24	JBBNAG01	18		
GCF_028502605.1	ASM2850260v1	Trichoderma breve		T069					Annotation submitted by Hainan University	38609973	Chromosome	2/9/23	JAOPEN01	9		
GCF_030684315.1	sSteTig4.hap1	Stegostoma tigrinum					sSteTig4	male	GCF_030684315.1-RS_2023_09	3198515386	Chromosome	8/8/23	JAUUDQ01	835		
GCA_008009225.1	AYv1.1	Acer yangbiense				Malutang	Malutang-1-2009seedling		Annotation submitted by Ori-Gene Co. Ltd.	664928911	Chromosome	8/23/19	VAHF01	278		
GCF_903992535.2	mArvAmp1.2	Arvicola amphibius							NCBI Arvicola amphibius Annotation Release 101	2297766297	Chromosome	5/15/21	CAJEUG02	215		
GCF_025860055.1	RBS_HiC_50CHRs	Xyrauchen texanus					HMW12.3.18		GCF_025860055.1-RS_2023_02	2186806939	Chromosome	10/26/22	JAOTQA01	1745		
GCF_900634625.1	fParRan2.1	Parambassis ranga							NCBI Parambassis ranga Annotation Release 100	551012959	Chromosome	2/6/19	CAAAFN01	156		
GCF_024139225.1	mSunEtr1.pri.cur	Suncus etruscus					mSunEtr1	male	GCF_024139225.1-RS_2023_02	2471666657	Chromosome	7/6/22	JAMYDX01	147		
GCF_021155775.1	iyNeoPine1.1	Neodiprion pinetum					iyNeoPine1	male	NCBI Neodiprion pinetum Annotation Release 100	272498186	Chromosome	12/10/21	JAJNQK01	112		
GCF_022539355.2	HSTE1.2	Hippoglossus stenolepis					QCI-W04-F060	female	NCBI Hippoglossus stenolepis Annotation Release 101	602147347	Chromosome	3/10/22	JAKRZP01	52		
GCF_903995435.1	mAcoRus1.1	Acomys russatus							GCF_903995435.1-RS_2023_02	2301522284	Chromosome	8/21/20	CAJFAB01	623		
GCF_019915245.1	ASM1991524v1	Fusarium musae		F31					Annotation submitted by universita degli studi di milano	44015302	Chromosome	9/9/21	JAHBCI01	13		
GCF_030144855.1	sHypSab1.hap1	Hypanus sabinus					sHypSab1	male	GCF_030144855.1-RS_2023_09	4044869043	Chromosome	6/5/23	JASKZA01	2989		
GCA_040020575.1	Rfu_1.0	Rhynocoris fuscipes					lab_2022b		Annotation submitted by China Agricultural University	621561295	Chromosome	5/31/24	JAPXFL01	90		
GCA_033220585.1	ASM3322058v1	Dipteronia sinensis					NBL		Annotation submitted by Zhejiang University	711048948	Chromosome	11/3/23	JANJYJ01	997		
GCF_029499605.1	aHylSar1.hap1	Hyla sarda					aHylSar1	female	GCF_029499605.1-RS_2023_05	4142159359	Chromosome	4/7/23	JARJIZ01	3474		
GCF_027579735.1	aBomBom1.pri	Bombina bombina					aBomBom1	male	GCF_027579735.1-RS_2023_03	10019663791	Chromosome	1/9/23	JAQBIC01	2467		
GCF_901765095.1	aMicUni1.1	Microcaecilia unicolor							NCBI Microcaecilia unicolor Annotation Release 100	4685923413	Chromosome	6/22/19	CABFKK01	1080		
GCF_022539665.2	CSIRO_AGI_Dcar_HiC_V3	Daphnia carinata		CSIRO-1				female	GCF_022539665.2-RS_2023_09	108144665	Chromosome	8/8/23	JAKKWT03	105		
GCF_036172545.1	AGI_CSIRO_Cbre_v1	Culicoides brevitarsis					CSIRO-B50_1	female	GCF_036172545.1-RS_2024_03	129492607	Chromosome	1/31/24	JAYKJV01	149		
GCF_949774975.1	mLagAlb1.1	Lagenorhynchus albirostris							GCF_949774975.1-RS_2023_10	2544819402	Chromosome	4/8/23	CATKRZ01	409		
GCF_901001135.1	aRhiBiv1.1	Rhinatrema bivittatum							NCBI Rhinatrema bivittatum Annotation Release 100	5319222779	Chromosome	6/2/19	CAAJIB01	1329		
GCA_036324595.1	JC_Cgun_ftc_fv8	Champsocephalus gunnari				cold specialized		male	Annotation submitted by University of Illinois at Urbana-Champaign	994201109	Chromosome	2/1/24	JAURVH01	1536		
GCF_024516045.1	iyBomAffi1.2	Bombus affinis					iyBomAffi1	male	NCBI Bombus affinis Annotation Release 100	365123313	Chromosome	8/5/22	JALLPS01	858		
GCA_036250285.1	FXH_PpeL_2.0	Pyrocoelia pectoralis					XCY_ONT2		Annotation submitted by Huazhong Agricultural University	532084166	Chromosome	1/31/24	JAVRBK01	339		
GCF_900700375.1	fDenClu1.1	Denticeps clupeoides							NCBI Denticeps clupeoides Annotation Release 100	567401054	Chromosome	3/16/19	CAADHS01	460		
GCF_963584025.1	fLabMix1.1	Labrus mixtus							GCF_963584025.1-RS_2023_11	740563171	Chromosome	11/5/23	CAUZXJ01	324		
GCF_902148845.1	fSalaFa1.1	Salarias fasciatus							NCBI Salarias fasciatus Annotation Release 100	797490645	Chromosome	7/3/19	CABFVL01	202		
GCF_902148855.1	fSphaOr1.1	Sphaeramia orbicularis							NCBI Sphaeramia orbicularis Annotation Release 100	1342662642	Chromosome	7/3/19	CABFVN01	340		
GCF_902500255.1	fThaAma1.1	Thalassophryne amazonica							NCBI Thalassophryne amazonica Annotation Release 100	2446592878	Chromosome	9/30/19	CABVOY01	464		
GCF_007364275.1	fArcCen1	Archocentrus centrarchus					MPI-CPG fArcCen1	male	NCBI Archocentrus centrarchus Annotation Release 100	932930362	Chromosome	8/1/19	STFV01	188		
GCF_008831285.2	ASM883128v2	Nymphaea colorata					Beijing-Zhang1983		NCBI Nymphaea colorata Annotation Release 101	408118238	Chromosome	8/1/22	VYXN01	784		
GCA_964030465.2	lpUroDecu1.1	Urochloa decumbens							Annotation submitted by Earlham Institute	2879772915	Chromosome	6/10/24	CAXIPR02	7122		
GCF_033978785.1	RoL_Eaeq_v1.1	Entelurus aequoreus					RoL-2023_Sb	male	GCF_033978785.1-RS_2023_12	1892198045	Chromosome	12/1/23	JAWNBF01	424		
GCA_019426215.1	BAv1.1	Buddleja alternifolia					LA-IB0		Annotation submitted by Ori-Gene Co. Ltd.	853114234	Chromosome	7/30/21	WHWC01	437		
GCF_900634775.1	fGouWil2.1	Gouania willdenowi							NCBI Gouania willdenowi Annotation Release 100	937150793	Chromosome	2/6/19	CAAAFV01	441		
GCA_000497125.2	ASM49712v2	Spironucleus salmonicida		ATCC 50377					Annotation submitted by Uppsala University	14545911	Chromosome	10/5/21	AUWU02	42		
GCF_903798145.1	fDanAes4.1	Danio aesculapii							GCF_903798145.1-RS_2023_05	1381485597	Chromosome	6/27/20	CAIGQR01	342		
GCF_947347685.1	fPlePla1.1	Pleuronectes platessa							GCF_947347685.1-RS_2023_03	687388084	Chromosome	11/29/22	CANAFI01	355		
GCF_010909765.2	sAmbRad1.1.pri	Amblyraja radiata					CabotCenter1	male	NCBI Amblyraja radiata Updated Annotation Release 100.20210331	2558784953	Chromosome	2/21/20	JAAGWR01	957		
GCF_949786415.1	PerEre_H2_v1	Peromyscus eremicus							GCF_949786415.1-RS_2023_08	2916547091	Chromosome	4/8/23	CATKUO01	4296		
GCA_008932095.1	ASM893209v1	Pyrus ussuriensis x Pyrus communis			Zhongai 1		S2		Annotation submitted by Research Institute of Pomology Chinese Academy of Agricultural Sciences	510637391	Chromosome	10/11/19	SMOL01	785		
GCA_025200525.1	XYYC_v1.0	Camellia lanceoleosa					SQ_2022a		Annotation submitted by Central South University of Forestry and Technology	2999357698	Chromosome	9/14/22	JANUSC01	790		
GCA_034768735.1	ASM3476873v1	Schistosoma mekongi					LV_2022a		Annotation submitted by Sun Yat-sen University	404245338	Chromosome	12/29/23	JALJAT01	1279		
GCF_011750605.1	ASM1175060v1	Drosophila busckii		"San Diego stock center, stock number 13000-0081.31"				pooled male and female	NCBI Drosophila busckii Annotation Release 101	118492362	Chromosome	3/26/20	DULD01	94		
GCF_024586455.1	APGP_CSIRO_Bneo_wtdbg2-racon-allhic-juicebox.fasta_v2	Bactrocera neohumeralis					Rockhampton		NCBI Bactrocera neohumeralis Annotation Release 100	577326612	Chromosome	8/9/22	JAMJQZ01	5158		
GCA_028583405.1	KU_S6	Pogonophryne albipinna					SGF0006		Annotation submitted by Korea University	1074502020	Chromosome	2/10/23	JAPTMU01	1111		
GCA_029465975.1	DPEC_1.1	Dallia pectoralis				Alaska	YG-Jan2019	female	Annotation submitted by GenoFish	719674739	Chromosome	3/31/23	JAHKKI01	1317		
GCF_014825855.1	ASM1482585v1	Bombus pyrosoma					SC7728		NCBI Bombus pyrosoma Annotation Release 100	254804690	Chromosome	10/2/20	JACXIN01	4727		
GCF_020080835.1	MPM_Cglom_v2.3	Cotesia glomerata					CgM1	male	NCBI Cotesia glomerata Annotation Release 100	288846213	Chromosome	9/24/21	JAHXZJ01	3354		
GCF_902827115.1	fPseGeo1.1	Pseudochaenichthys georgianus							NCBI Pseudochaenichthys georgianus Annotation Release 100	1026101545	Chromosome	4/15/20	CADEHP01	1563		
GCF_029867415.1	Vvil1.0	Vicia villosa			HV-30	"Madison, WI"			GCF_029867415.1-RS_2023_08	2034988852	Chromosome	4/26/23	JAROZA01	1888		
GCF_029784155.1	ASM2978415v1	Uranotaenia lowii		MFRU-FL				male	GCF_029784155.1-RS_2023_04	1077644186	Chromosome	4/19/23	JARQTL01	2014		
GCF_900005765.1	PRELSG	Plasmodium relictum		SGS1					Annotation submitted by WTSI	22571969	Chromosome	11/17/16	CVMU01	512		
GCA_018127085.1	P2C.v1.0	Pneumocystis sp. 'macacae'					P2C		Annotation submitted by National Institutes Of Health	8274841	Chromosome	4/23/21	JABMLO01	19		
GCF_006345805.1	ASM634580v1	Octopus sinensis					Ov201803		NCBI Octopus sinensis Annotation Release 101	2719136158	Chromosome	6/17/19	VCDQ01	13515		
GCF_963692335.1	fOsmEpe2.1	Osmerus eperlanus							GCF_963692335.1-RS_2024_01	508721272	Chromosome	12/11/23	CAVNYC01	1007		
GCF_024868665.1	Trosa_1v2	Triplophysa rosa						female	GCF_024868665.1-RS_2023_06	684805028	Chromosome	9/14/22	JAFHDT01	1038		
GCA_029204005.1	ASM2920400v1	Salix udensis			04-BN-051			male	Annotation submitted by Cornell University	315873059	Chromosome	3/14/23	JAPFFJ01	1157		
GCF_943734635.1	idAnoCruzAS_RS32_06	Anopheles cruzii							GCF_943734635.1-RS_2023_02	184069349	Chromosome	6/24/22	CALSDP01	5088		
GCA_029228605.1	ASM2922860v1	Salix koriyanagi			SH3			female	Annotation submitted by Cornell University	339126720	Chromosome	3/20/23	JAPFFM01	1914		
GCA_010411085.1	CEY_v1	Cervus hanglu yarkandensis					CEY-2017	male	"Annotation submitted by Institute of Special Wild Economic Animals and Plants, Chinese Academy of Agricultural Sciences"	2594114534	Chromosome	2/12/20	WMHW01	17927		
