"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."
"When using BacDive for research please cite our paper https://doi.org/10.1093/nar/gkae959"

ID,designation_header,strain_number_header,is_type_strain_header,species,"Genome seq. accession number","PH range",pH,"Salt conc."
,,,,,GCA_900096585,,,0.25
158825,"TSD-72, RKSG058","LMG 29871",1,"Sansalvadorimonas verongulae",2886429779,alkaliphile,6-9,0.5-10
,,,,,GCA_009711465,,,2-3
23375,K481-B101,"DSM 7029, ATCC 53080, NBRC 100090",1,"Caldimonas brevitalea",2648501326,alkaliphile,5-10,0
,,,,,413882.8,,,0-0.2
,,,,,GCA_001017435,,,
24131,LY-73,"DSM 28193, CCTCC M 2011481, KACC 16878",1,"Schleiferilactobacillus shenzhenensis",GCA_000469325,alkaliphile,04-09,6
133011,ZQ18-1,"DSM 28236, CICC 10824",1,"Scopulibacillus daqui",1469162.3,alkaliphile,4.0-9.0,0-10.0
,,,,,2901206664,,,2
,,,,,GCA_016908855,,,
6697,,"DSM 19909, BCRC 17810, JCM 15043, YIT 11304, LMG 30911",1,"Secundilactobacillus odoratitofui",1423776.3,alkaliphile,4.5-8.5,01-07
,,,,,1423776.4,,,
,,,,,2671180363,,,
,,,,,2734481935,,,
,,,,,GCA_001313185,,,
,,,,,GCA_001434895,,,
140410,IWT25,"DSM 102974, JCM 31145, LMG 30918",1,"Secundilactobacillus pentosiphilus",GCA_002217985,acidophile,4.0-7.0,4
140409,IWT5,"DSM 102973, JCM 31144, LMG 30917",1,"Secundilactobacillus silagincola",GCA_002583405,acidophile,4.0-7.5,4
132448,MO-SEDI,"DSM 24004, JCM 17293",1,"Sedimentibacter acidaminivorans",2913419208,alkaliphile,6-8.5,0-60
,,,,,913099.3,,,20
,,,,,GCA_017873955,,,
13671,NH52F,"DSM 24252, CCTCC AB 208316, LMG 24841, MCCC 1A04178",1,"Sedimentitalea nanhaiensis",2521172577,alkaliphile,6-9.3,0.6-6
,,,,,571166.3,,,2.5
,,,,,GCA_000473225,,,
1556,"NHBX-5, NHBX5","DSM 19340, CGMCC 1.6502, CIP 110033",1,"Sediminibacillus albus",2675902963,alkaliphile,5.5-9.0,0-22
,,,,,407036.4,,,7
,,,,,GCA_900101125,,,
1555,EN8d,"DSM 18088, CCM 7364, CECT 7148, CGMCC 1.6199",1,"Sediminibacillus halophilus",2675902964,alkaliphile,5-9.5,0-20
,,,,,482461.3,,,5-7.5
,,,,,GCA_900103695,,,
24737,,"DSM 22335, JCM 15794, KCTC 12833, DCY 13, KACC 15019",1,"Sediminibacterium ginsengisoli",2634166300,alkaliphile,4.5-10,0-2
,,,,,413434.4,,,1
,,,,,GCA_900167075,,,
13849,,"DSM 21189, CCTCC AA 208033, KCTC 22349, YIM B024",1,"Sediminimonas qiaohouensis",1123247.3,alkaliphile,6.5-9.0,0.25-20
,,,,,2523533612,,,5.25
,,,,,GCA_000423645,,,
140907,F23,"JCM 19771, CGMCC 1.12785, MCCC 1A09945",1,"Sediminivirga luteola",1774748.3,alkaliphile,6-12,0-10
,,,,,GCA_014639315,,,1
,,,,,GCA_021729215,,,
17760,GS664,"DSM 18137, KCTC 12655, Gsoil 664, CIP 109820",1,"Segetibacter koreensis",1123248.3,alkaliphile,5.5-8.5,0.0-3.0
,,,,,2516143113,,,1.5
,,,,,GCA_000374045,,,
140808,NF48,"MCCC 1K01157, KCTC 42650",1,"Seohaeicola zhoushanensis",1569283.3,alkaliphile,5.5-9,0.5-7
,,,,,GCA_014656415,,,2
158553,B011,"MCCC 1H00146, NBRC 112333",1,"Seonamhaeicola marinus",2890181994,alkaliphile,6-8.5,1-5
,,,,,GCA_008085455,,,3
166320,W255,"MCCC 1H00377, KCTC 72085",1,"Seonamhaeicola sediminis",GCA_004358095,alkaliphile,6-8.5,1-5
,,,,,,,,3
1681,Kis4-28,"DSM 21801, NBRC 104924",1,"Serinibacter salmoneus",2627853598,alkaliphile,06-09,0-10
,,,,,556530.3,,,2.5
,,,,,GCA_002563925,,,
6283,JC1078,"DSM 15273, IMSNU 14026, KCTC 9980, CCUG 51944, JCM 13024, CIP 108477",1,"Serinicoccus marinus",1123251.10,alkaliphile,06-11,0
,,,,,1123251.3,,,0-14
,,,,,2524614805,,,2-10
,,,,,GCA_000421245,,,2.5
,,,,,GCA_008386315,,,
6284,0714S6-1,"DSM 21363, CGMCC 4.5582, NBRC 110789, MCCC 1A05965, JCM 17740",1,"Serinicoccus profundi",1078471.4,alkaliphile,06-11,0-14
,,,,,2884004160,,,10
,,,,,GCA_000224715,,,4
,,,,,GCA_008001015,,,
164370,GP-T3-3,"JCM 32825, KACC 19850, KCCM 43309, KCTC 49173",1,"Serinicoccus sediminis",2866608699,alkaliphile,4.0-12.0,0.0-15.0
,,,,,GCA_004153545,,,3.0-5.0
132680,3b,"DSM 100013, JCM 30645",1,"Serpentinicella alkaliphila",1734049.3,alkaliphile,7.8-10.1,0-0.2
,,,,,2795386145,,,0-4.0
,,,,,GCA_004345905,,,
,,,,,GCA_018141405,,,
5168,DZ0503SBS1,"DSM 21420, CGMCC 1.6853, DSM 22964, KCTC 22130, JCM 14855, LMG 26067, CCM 7985, CIP 111051",1,"Serratia nematodiphila",2596583578,alkaliphile,05-11,02-07
,,,,,458197.16,,,4.5
,,,,,458197.4,,,
,,,,,GCA_000738675,,,
,,,,,GCA_002082525,,,
,,,,,GCA_900101535,,,
140703,J11-6,"ACCC 19934, KCTC 52529",1,"Serratia oryzae",2791355148,alkaliphile,4-11,0
,,,,,GCA_001976145,,,0-1
,,,,,,,,0-4
5166,,"DSM 16952, CCUG 50595, LMG 22860, NIVA NiVa51, JCM 13046, BCRC 17594, CCM 7336, CIP 108937, JCM 16474, NiVa 51",1,"Serratia ureilytica",300181.29,alkaliphile,05-11,0-1.4
,,,,,GCA_013375155,,,0.7
134072,,"KACC 16187, JCM 17801, SC 18",1,"Shewanella aestuarii",1028752.7,alkaliphile,5.0-9.0,0-5
,,,,,GCA_014647215,,,1
,,,,,GCA_023283685,,,
132976,ST-6,"DSM 23803, JCM 31091, KCTC 23253",1,"Shewanella algicola",640633.4,alkaliphile,6.0-10.0,1-6
,,,,,GCA_014648035,,,
,,,,,GCA_023283725,,,
133709,"IR 12","KCTC 23109, JCM 16723",1,"Shewanella frigidimarina",1659315.3,alkaliphile,4.5-9,0.5-3.5
,,,,,GCA_003797125,,,0.75
134352,J83,"KCTC 22121, JCM 14937",1,"Shewanella basaltis",GCA_023283885,alkaliphile,5.5-9.5,5
133524,JC5,"CCUG 57101, NBRC 105217, KCC 22540, KCTC 22540",1,"Shewanella chilikensis",2740891837,alkaliphile,07-10,0-8
,,,,,2859028064,,,
,,,,,558541.9,,,
,,,,,GCA_002836945,,,
,,,,,GCA_003217175,,,
,,,,,GCA_014651975,,,
,,,,,GCA_023283475,,,
23252,UDC329,"DSM 23626, KCTC 22898, CCUG 58667",0,"Shewanella dokdonensis",712036.3,alkaliphile,5-8.5,0-7
,,,,,GCA_018394335,,,1
,,,,,GCA_023283565,,,
134204,LT17,"KCTC 10635BP, JCM 12524, CIP 109543",1,"Shewanella donghaensis",238836.3,alkaliphile,6.5-8.5,0.5-4.0
,,,,,GCA_007567505,,,2.5
141062,RZB5-4,"JCM 30804, KCTC 42663, MCCC 1K00697",1,"Shewanella gelidii",1642821.3,alkaliphile,6.0-10.0,1-5
,,,,,GCA_014647855,,,2-3
,,,,,GCA_023283645,,,
134289,DW01,"KCTC 12896, JCM 14758, BCRC 80906",1,"Shewanella algae",1236541.3,alkaliphile,05-11,0-10
,,,,,2565956593,,,4
,,,,,GCA_000614935,,,
140484,XMDDZSB0408,"KCTC 52125, MCCC 1A01895",1,"Shewanella intestini",2664453.3,alkaliphile,7-9,3-6
,,,,,,,,5
133273,KX27,"KCTC 42807, CGMCC 1.15339",1,"Shewanella inventionis",1738770.3,alkaliphile,6.0-9.0,0.0-5.0
,,,,,GCA_014641855,,,2
,,,,,GCA_023283595,,,6
159740,MMS16-UL482,"KCTC 62129, JCM 32306",1,"Shewanella litoralis",2282700.5,alkaliphile,6-10,0.5-6.5
,,,,,2282700.8,,,2.5
,,,,,2900453558,,,
,,,,,GCA_009828585,,,
,,,,,GCA_014648335,,,
133464,C4,"KCTC 22185, JCM 15074, CIP 110022",1,"Shewanella marina",1236542.4,alkaliphile,5.0-10,2.0-9.0
,,,,,2585427913,,,3
,,,,,GCA_000614975,,,
164190,M2,"JCM 32090, KCCM 43257",1,"Shewanella psychromarinicola",GCA_003855155,alkaliphile,5.5-8.5,0.5-10.0
,,,,,GCA_023283865,,,2.0-3.0
159741,MMS16-UL250,"KCTC 62131, JCM 32304",1,"Shewanella saliphila",2282698.3,alkaliphile,6-10,2.5-8
,,,,,GCA_014648295,,,4.5
,,,,,GCA_023283695,,,
159742,MMS16-UL253,"KCTC 62130, JCM 32305",1,"Shewanella ulleungensis",2282699.3,alkaliphile,6-10,0-8
,,,,,GCA_014648315,,,2.5
,,,,,GCA_023283965,,,
133424,M7,"LMG 244245, CECT 7339",1,"Shewanella vesiculosa",GCA_021560015,alkaliphile,6.0-8.5,2
,,,,,,,,<7
14084,S4,"DSM 22215, CCTCC M 209017, JCM 16212, KCTC 23986",1,"Shewanella xiamenensis",332186.41,alkaliphile,06-09,0-4
,,,,,GCA_014647135,,,01-02
,,,,,GCA_023283665,,,
132403,,"DSM 100673, JCM 30900, JAMH 043",1,"Shimia abyssi",1662395.5,alkaliphile,6.5-9.5,0-1
,,,,,2728369514,,,2-3
,,,,,GCA_003014475,,,2-7
134055,CC-AMW-C,"JCM 18818, BCRC 80548",1,"Shimia biformata",1294299.3,alkaliphile,6.0-10.0,01-06
,,,,,GCA_016888515,,,3
24508,WM35,"DSM 28453, JCM 18870, KACC 17212",1,"Shimia haliotis",1280847.3,alkaliphile,06-09,0-5
,,,,,2619619046,,,3
,,,,,GCA_900114415,,,
13830,SW6,"DSM 26433, BCRC 80085, LMG 25377",1,"Shimia isoporae",2728369275,alkaliphile,7.0-11,1.0-5.0
,,,,,647720.4,,,3.5
,,,,,GCA_004346865,,,
23232,CL-TA03,"DSM 26895, JCM 13038, KCCM 42117, BCRC 80068, CIP 109331, NCIMB 14294",1,"Shimia marina",2619618961,alkaliphile,06-10,03-07
,,,,,321267.13,,,
,,,,,GCA_900112745,,,
133167,C3,"KEMB 2255-446, JCM 31239",1,"Shinella curvata",1817964.4,alkaliphile,6.1-8.8,0-3.5
,,,,,2891339218,,,0.5
,,,,,GCA_010994455,,,3.5
,,,,,GCA_022899935,,,
13906,DC-196,"DSM 21319, CCUG 55808, LMG 24714",1,"Shinella fusca",2861721846,alkaliphile,06-09,0-3
,,,,,544480.7,,,
,,,,,GCA_014203155,,,
13902,"Ch06, 55.101","CCUG 56487, DSM 18401, JCM 13254, KCTC 12237",1,"Shinella granuli",2802428853,alkaliphile,06-10,01-04
,,,,,323621.6,,,
,,,,,GCA_004341885,,,
13904,,"DSM 19334, CCBAU 25048, JCM 14778, LMG 24136, CCUG 56777",1,"Shinella kummerowiae",417745.4,alkaliphile,05-11,3
,,,,,GCA_009827055,,,
159722,AH-1,"KCTC 52677, CCTCC AB 2017242",1,"Shinella pollutisoli",GCA_024609765,alkaliphile,6.5-9,0-2
,,,,,,,,1
13905,MS-4,"DSM 18801, NBRC 102122",1,"Shinella yambaruensis",GCA_022899355,alkaliphile,4-9,0-2
,,,,,GCA_025656855,,,1
1259,K11,"DSM 18940, CIP 108751, JCM 12663, NCIMB 14023",1,"Shouchella oshimensis",290588.4,alkaliphile,07-10,0-20
,,,,,GCA_002019765,,,7
1273,,"DSM 19099, JCM 13820, MLB 2, MTCC 7633, CIP 109550, LMG 24751",1,"Shouchella oshimensis",300825.3,alkaliphile,07-11,0-12
,,,,,GCA_004375095,,,6
1274,P203,"DSM 19153, NCIMB 14288",0,"Shouchella oshimensis",2645727886,alkaliphile,6.5-10,<12
,,,,,444060.4,,,
,,,,,GCA_001420645,,,
,,,,,GCA_023703085,,,
158554,,"CGMCC 1.15936, KCTC 62088, SYSU D8009",1,"Siccirubricoccus deserti",2013562.4,acidophile,4-8,0-1.5
,,,,,GCA_014644195,,,
133213,KC90B,"DSM 103371, RCC 4681",1,"Silicimonas algicola",1826607.3,alkaliphile,6.0-9.0,0
,,,,,1826607.5,,,0.5-4.0
,,,,,2756170270,,,1.5-2.0
,,,,,GCA_003148765,,,4.5
132354,DHOF10,"DSM 103429, CGMCC 1.13007, KCTC 42631",1,"Silvibacterium dinghuense",1560006.5,acidophile,3.5-8,0-1
,,,,,2882000052,,,
,,,,,GCA_004123295,,,
,,,,,GCA_014640355,,,
10502,ir6-4,"DSM 24239, CGMCC 1.8860, KCTC 22514, NBRC 103189",0,"Silvimonas amylolytica",449663.3,alkaliphile,04-09,0-1
,,,,,GCA_014645555,,,
10503,ir6-1,"DSM 24036, CGMCC 1.8859, KCTC 22513, NBRC 103188",1,"Silvimonas iriomotensis",449662.3,alkaliphile,04-09,0-3
,,,,,GCA_014645535,,,
17906,SA1,"DSM 21679, BCRC 17597, JCM 13881",1,"Simiduia agarivorans",1117647.20,alkaliphile,07-10,0.5-7
,,,,,1117647.4,,,2-3
,,,,,2519103097,,,2.5
,,,,,2522572190,,,5-7
,,,,,GCA_000305785,,,8-10
,,,,,GCA_000420285,,,
1221,R-7190,"DSM 16014, CIP 108821, LMG 22080",1,"Siminovitchia fordii",1121090.3,alkaliphile,9.0,0-10
,,,,,2517572148,,,7
,,,,,GCA_000374565,,,
133982,SgZ-10,"CCTCC AB 2012110, KACC 16873, DSM 105453",1,"Siminovitchia thermophila",1245522.3,alkaliphile,6.0-9.0,0-6
,,,,,2901283257,,,0.5
,,,,,GCA_016909185,,,
166124,NY-02,"KACC 19731, LMG 31165",1,"Simplicispira hankyongi",GCA_003570885,alkaliphile,5.5-9.0,0
,,,,,,,,0.0-3.0
159874,SC1-8,"KACC 19329, NBRC 113111",1,"Simplicispira suum",2109915.3,alkaliphile,7.0-9.0,0
,,,,,GCA_003008595,,,0-2
14409,,"DSM 17008, KCTC 3943, YIM 70212",1,"Sinobaca qinghaiensis",2636416020,alkaliphile,7.5-9,01-25
,,,,,342944.3,,,10
,,,,,GCA_003610495,,,
134301,LC13,"IAM 15386, CCTCC AB 206018, JCM 30149, DSM 107966, JCM 21830",1,"Sinomonas albida",GCA_004919045,alkaliphile,06-10,03-07
17889,6014,"DSM 45181, BCC 55026, KCTC 19655, TBRC 2209, JCM 19962, CPCC 201354",1,"Sinosporangium album",2675903142,alkaliphile,6.5-8.5,0
,,,,,504805.3,,,1
,,,,,GCA_900100605,,,
158820,HR-U,"KACC 19409, JCM 32267",1,"Siphonobacter curvatus",2881402806,alkaliphile,6.0-10.0,0
,,,,,GCA_002943425,,,0-3.0
13964,5416T-32,"DSM 18479, KACC 11604",1,"Skermanella aerolata",1385368.4,alkaliphile,4.0-9.0,0-5
,,,,,2627853908,,,0.0-5.0
,,,,,GCA_000936425,,,2.5
133736,SB22,"CGMCC 1.10751, KCTC 23364",1,"Skermanella stibiiresistens",1385369.3,alkaliphile,05-09,0-4
,,,,,2590828654,,,
,,,,,GCA_000576635,,,
133088,ISSFR-015,"DSM 101595, NRRL B-65388",1,"Solibacillus kalamii",1748298.10,alkaliphile,6.0-10.0,0-5
,,,,,2791354932,,,
,,,,,2901246952,,,
,,,,,GCA_002174535,,,
,,,,,GCA_016909025,,,
159715,S20-91,"DSM 104733, LMG 30010",1,"Solimicrobium silvestre",2832032608,alkaliphile,6-9,0
,,,,,GCA_002976435,,,0-1
14088,,"DSM 22325, JCM 14923, KCTC 12628, LMG 23485, Gsoil 355",1,"Solirubrobacter soli",1123262.3,alkaliphile,5.0-11,0.0-1.5
,,,,,2524023148,,,0.75
,,,,,GCA_000423665,,,
23809,D3-40,"DSM 26341, KCTC 29141, JCM 31495",1,"Spelaeicoccus albus",1280376.3,alkaliphile,05-09,0-6
,,,,,2833989251,,,1.5
,,,,,GCA_013409065,,,
,,,,,GCA_021729195,,,
16526,"T-1, A-0151","DSM 43048, ATCC 27303, JCM 3151, KCC A-0151, NBRC 14179, BCRC 12464, CBS 265.72, CIP 105593, HUT 6621, IFM 1287, IFO 14179, IMSNU 22109, KCTC 9241, NCIMB 11544, NRRL B-16986, PCM 2580, VKM Ac-1953, VTT E-89374, CCRC 12464",1,"Sphaerimonospora mesophila",1226285.5,alkaliphile,6-9,0-2
,,,,,1226285.6,,,10
,,,,,2734481958,,,2.5
,,,,,2773857850,,,3
,,,,,GCA_001313685,,,4
,,,,,GCA_001552515,,,6
,,,,,,,,8
14130,,"DSM 22362, LMG 25273, WCC 4521",1,"Sphingobacterium alimentarium",2791354870,alkaliphile,06-09,0-3
,,,,,797292.3,,,
,,,,,GCA_004342685,,,
140595,Y3L14,"CGMCC 1.15782, KCTC 52379",1,"Sphingobacterium alkalisoli",1874115.4,alkaliphile,6.0-10.0,0-2.0
,,,,,2898716849,,,0-6.0
,,,,,GCA_005049105,,,
,,,,,GCA_014643675,,,
158691,YK2,"MTCC 12631, KCTC 52685, JCM 31951",1,"Sphingobacterium bovisgrunnientis",1874697.3,alkaliphile,5-11,0-0.5
,,,,,2896326849,,,
,,,,,GCA_009829085,,,
133096,R-53603,"DSM 102028, LMG 28764",1,"Sphingobacterium cellulitidis",1768011.4,alkaliphile,7.0-9.0,0-6
,,,,,2882323096,,,
133248,DH-5,"ACCC 19856, KCTC 42746",1,"Sphingobacterium chuzhouense",1742264.3,alkaliphile,6.0-9.0,0-5.0
,,,,,2921034263,,,1
,,,,,GCA_014692525,,,
14128,4M24,"DSM 18850, KACC 11313, JCM 16391, NBRC 106383",1,"Sphingobacterium allocomposti",2700988711,alkaliphile,06-09,0-5
,,,,,415956.3,,,2.5
,,,,,GCA_008124885,,,
166408,NYYP31,"CGMCC 1.16979, NBRC 114258",1,"Sphingobacterium endophyticum",2898734385,alkaliphile,5.0-10.0,0
,,,,,GCA_009733535,,,0.0-5.0
141086,SCU-B140,"KCTC 42158, CGMCC 1.12966",1,"Sphingobacterium griseoflavum",1474952.3,alkaliphile,6.0-9.0,0-4
,,,,,GCA_014653155,,,1
159833,5JN-11,"ACCC 60072, KCTC 62457",1,"Sphingobacterium haloxyli",2849507829,alkaliphile,7.0-9.0,0-2
,,,,,GCA_002980525,,,0-6
158555,D1,"KACC 18595, JCM 31225",1,"Sphingobacterium humi",1796905.3,alkaliphile,5.5-9,0-1
,,,,,2896301657,,,0-5
,,,,,GCA_009768885,,,
14131,,"DSM 22361, LMG 25272, WCC 4512",1,"Sphingobacterium lactis",2675903147,alkaliphile,06-09,0-5
,,,,,797291.3,,,
,,,,,797291.6,,,
,,,,,GCA_011046555,,,
,,,,,GCA_900107985,,,
14132,M-SX103,"DSM 24091, CCTCC AB 2010390, JCM 17339",1,"Sphingobacterium nematocida",1513896.4,alkaliphile,06-09,0-3
,,,,,2595698210,,,
,,,,,GCA_900168125,,,
140613,7Y-4,"CFCC 11742, KCTC 42247",1,"Sphingobacterium populi",1775560.3,alkaliphile,5-10,0-3
,,,,,2728369126,,,
,,,,,GCA_001586775,,,
166248,M05W1-28,"CGMCC 1.13711, KCTC 72027",1,"Sphingobacterium puteale",2898728513,alkaliphile,6.0-9.0,0
,,,,,GCA_003627955,,,0.0-1.5
134347,SY1,"KCTC 22131, CGMCC 1.6855, JCM 14866",1,"Sphingobacterium siyangense",2596583573,alkaliphile,03-10,0-4
,,,,,459529.5,,,1
,,,,,GCA_007830445,,,
140094,,"DSM 101679, CGMCC 1.15966, KCTC 42696, YIM X0211",1,"Sphingobacterium soli",1914757.3,alkaliphile,5-9,0-3
,,,,,1914757.4,,,3-5
,,,,,2861287033,,,
,,,,,GCA_014138555,,,
,,,,,GCA_014644335,,,
14118,"E7288, 29-83","DSM 11722, ATCC 33861, CDC E7288, GIFU 3101, JCM 1277, NCTC 11386, CCUG 13224, CCM 4603, CIP 100542, IAM 14210, IFO 14948, JCM 6897, LMG 8347, NBRC 14948, NRRL B-23392",1,"Sphingobacterium spiritivorum",2562617179,alkaliphile,6.0-9.0,0-3.5
,,,,,258.11,,,0-4
,,,,,258.5,,,10
,,,,,2849498117,,,6
,,,,,525373.3,,,8
,,,,,GCA_000143765,,,
,,,,,GCA_900457435,,,
158556,h337,"KCTC 52298, CCTCC AB 2017155",1,"Sphingobacterium tabacisoli",GCA_017908035,alkaliphile,6-9,0-3
14129,LQY-18,"DSM 22789, ACCC 05410, CCTCC AB 2010005, KCTC 23009",1,"Sphingobacterium wenxiniae",2634166295,alkaliphile,05-10,0-5
,,,,,683125.3,,,1
,,,,,GCA_900116225,,,
141163,Pch-E,"KACC 19284, JCM 32055",1,"Sphingobium limneticum",2048546.3,alkaliphile,4.0-9.0,0-1.0
,,,,,GCA_008710205,,,0-3.0
130670,CU4,"DSM 29771, CCTCC AB 2011146, KCTC 23865",1,"Sphingobium cupriresistens",1132417.3,alkaliphile,05-09,0-2
,,,,,GCA_004152865,,,0.5
24556,BA-3,"DSM 26189, CCTCC AB 201217, KACC 16433, KCTC 23196",1,"Sphingobium jiangsuense",2829898683,alkaliphile,5.5-9,0-2
,,,,,870476.3,,,0.50
,,,,,GCA_014196495,,,
14192,DS20,"DSM 23389, CCM 7540, MTCC 9471",1,"Sphingobium lactosutens",1331060.3,alkaliphile,6-10,0-5
,,,,,2582580885,,,2.5
,,,,,GCA_000445105,,,
141162,Pch-B,"KACC 19283, JCM 32054",1,"Sphingobium limneticum",2048545.3,alkaliphile,4.0-9.0,0-1.0
,,,,,GCA_008710165,,,0-3.0
164348,EO9,"JCM 32762, KACC 19523",1,"Sphingobium terrigena",GCA_003591655,alkaliphile,6.0-9.0,0
,,,,,,,,0.0-0.5
159873,,"KCTC 62233, NBRC 113094, CAU 1457",1,"Sphingomicrobium arenosum",GCA_026157085,alkaliphile,5.5-8.5,0-7
,,,,,,,,2
133944,CC-AMO-30B,"JCM 18551, BCRC 80465",1,"Sphingomicrobium astaxanthinifaciens",GCA_022865105,alkaliphile,6.5-10.5,01-04
,,,,,GCA_026157155,,,3
134044,CC-AMZ-30N,"JCM 18555, BCRC 80467",1,"Sphingomicrobium flavum",GCA_024721605,alkaliphile,6.5-9.5,01-02
,,,,,,,,1
14298,CC-TBT-3,"DSM 24194, CCM 7794",1,"Sphingomicrobium lutaoense",2828014108,alkaliphile,6.5-10.5,1-7
,,,,,515949.3,,,
,,,,,GCA_014195685,,,
,,,,,GCA_026157185,,,
134043,CC-AMZ-30M,"JCM 18554, BCRC 80466",1,"Sphingomicrobium marinum",GCA_026157105,alkaliphile,6.5-10.5,01-03
,,,,,,,,1
159734,B093034,"CFCC 13949, LMG 30133",1,"Sphingomonas carotinifaciens",GCA_003287395,alkaliphile,4.5-10,0-2
,,,,,,,,0-7
14269,S8-3,"DSM 22537, LMG 26055",1,"Sphingomonas alpina",653931.5,alkaliphile,06-10,0-1
,,,,,GCA_014490665,,,
,,,,,GCA_025370095,,,
166236,WZY27,"KCTC 62523, CCTCC AB 2018056",1,"Sphingomonas aracearum",GCA_003345355,alkaliphile,4.0-10.0,0-5
141164,L9-754,"DSM 27347, KACC 17595",1,"Sphingomonas carotinifaciens",1166323.3,alkaliphile,5.0-9.0,0-6
,,,,,1166323.4,,,
,,,,,2651870108,,,
,,,,,2830088248,,,
,,,,,GCA_009789535,,,
,,,,,GCA_014197095,,,
,,,,,GCA_900102275,,,
158581,CC-MHH0539,"BCRC 80933, JCM 31229",1,"Sphingomonas colocasiae",1848973.3,alkaliphile,6-9,<1
,,,,,GCA_019880585,,,
166214,ZLT-5,"CCTCC AB 2018188, KCTC 62840",1,"Sphingomonas flavalba",GCA_004796535,alkaliphile,6-9,0-1.5
,,,,,,,,0.5
14270,CC-Nfb-2,"DSM 24164, BCRC 80272",1,"Sphingomonas formosensis",GCA_009755815,alkaliphile,05-09,<3
166381,"Strain S6-262, S6-262","DSM 27346, KACC 17594",1,"Sphingomonas gellani",GCA_900110035,alkaliphile,5.0-9.0,0.0-2.0
,,,,,,,,3
166267,ZDH117,"KCTC 62894, CCTCCAB 2018262",1,"Sphingomonas gilva",GCA_003515075,alkaliphile,6.0-9.0,0
14260,ODN7,"DSM 23329, CCUG 57509, KCTC 22579",1,"Sphingomonas hankookensis",GCA_022664465,alkaliphile,05-10,0-1
,,,,,,,,0.25
14257,DS-28,"DSM 21792, JCM 14603, KCTC 12872, CIP 110394",1,"Sphingomonas insulae",2828333980,alkaliphile,5-8.5,0-2
,,,,,424800.3,,,0.25
,,,,,424800.4,,,
,,,,,GCA_010450875,,,
,,,,,GCA_011762035,,,
14252,TDMA-16,"DSM 18422, CCUG 53607, NBRC 102120, CIP 109619",1,"Sphingomonas jaspsi",1123268.4,alkaliphile,6.0-9.0,0.0-0.25
,,,,,2524614649,,,
,,,,,GCA_000585415,,,
141165,S5-249,"DSM 27345, KACC 17593",1,"Sphingomonas jatrophae",2654588199,alkaliphile,5.0-9.0,0-6
,,,,,GCA_900113315,,,4
140852,9O-5,"CGMCC 1.15330, KCTC 42759",1,"Sphingomonas metalli",1779358.3,alkaliphile,6-9,0
,,,,,GCA_014641735,,,0-1
133230,DKC-5-1,"KEMB 9005-380, KACC 18716, JCM 31294",1,"Sphingomonas naphthae",GCA_028607085,alkaliphile,6.0-8.5,0
,,,,,,,,1.5
159769,FW-11,"LMG 29274, HAMBI 3659",1,"Sphingomonas oleivorans",2906746928,alkaliphile,5-9,<3
,,,,,GCA_003050615,,,
166382,JS21-1,"DSM 27348, KACC 17591",1,"Sphingomonas palmae",2657245271,alkaliphile,5.0-9.0,0.0-1.0
,,,,,GCA_900109565,,,3
132650,W18RD,"DSM 103336, CGMCC 1.15645",1,"Sphingomonas prati",1843237.4,alkaliphile,5.0-10.0,0
,,,,,1843237.5,,,0-1.0
,,,,,2828460860,,,
,,,,,GCA_009755805,,,
,,,,,GCA_014199405,,,
,,,,,GCA_014643515,,,
158693,THG-T61,"KACC 19189, CCTCC AB 2016245",1,"Sphingomonas rhizophila",2071607.3,alkaliphile,5-9,0
,,,,,2896429255,,,0-2
,,,,,GCA_014396585,,,
14264,BH3,"DSM 26135, CGMCC 1.9113, CIP 110396, JCM 16230",1,"Sphingomonas rubra",2617270762,alkaliphile,06-09,0-8
,,,,,634430.3,,,
,,,,,GCA_900115745,,,
157911,MCT13,"DSM 105457, BAC RE RSCIC 7",1,"Sphingomonas turrisvirgatae",2751185898,alkaliphile,6.5-9,0-1.5
,,,,,GCA_001721295,,,
23284,SC13E-971,"DSM 25229, CECT 8016",1,"Sphingopyxis italica",1129133.3,alkaliphile,4.5-8.5,0-2
,,,,,2828641578,,,
,,,,,GCA_011926545,,,
159655,WS5A3p,"DSM 106274, PCM 2932",1,"Sphingopyxis lindanitolerans",2788500577,alkaliphile,8-9,0
,,,,,GCA_002993885,,,0-2
14285,BL03,"DSM 25337, JCM 15910, KCTC 22405",1,"Sphingopyxis soli",GCA_018682675,alkaliphile,5-9.5,0-3
140477,R366,"KEMB 9005-451, KACC 19003, JCM 31675",1,"Sphingopyxis solisilvae",1886788.3,alkaliphile,6.0-10.0,0
,,,,,GCA_015475875,,,0-4
164092,LPB0140,"JCM 31568, KACC 18891",1,"Sphingorhabdus lutea",GCA_001889025,alkaliphile,5-8.5,0-3
,,,,,,,,1
164390,GY_G,"JCM 32855, KCTC 62791",1,"Sphingorhabdus pulchriflava",GCA_003367235,alkaliphile,6-10,0-4
,,,,,,,,0.5-1.5
166427,QZX222,"KCTC 62519, CCTCC AB 2018030",1,"Sphingosinicella humi",2832710421,alkaliphile,6.5-9,0
,,,,,GCA_003129465,,,0-0.4
14295,KSL-125,"DSM 17328, KCTC 12482",1,"Sphingosinicella soli",2828629153,alkaliphile,6-9.5,0-2
